AccountID,Highest Amount,Lowest Amount,Difference
6ca62807-a73a-4b40-a47e-3ef9674f89b0,10208.82716,1347.849398,8860.977765
16422,-1317.453975,-1695.635357,378.181382
0f8ec7d0-0b2d-44d4-b25c-078569f851d6,6026.058518,1252.995464,4773.063053
477c7fa0-e795-40ee-aada-edf39595dea7,1645.284558,761.9828244,883.3017337
47dc4978-963b-4884-995c-5f3116ebf179,1079.403291,-720.6637183,1800.067009
ca5010ce-1b7c-4219-8e1d-ab0336834576,7464.14487,817.0376895,6647.10718
cbbb07b6-0e1a-4608-9740-bf2adbd95d0f,-37649.7093,-41899.07517,4249.365862
e573677a-1c64-4d5d-a3f1-35cee3c866ec,-11287.80843,-24569.24528,13281.43685
7f510f19-1764-4e5d-98e1-f04dc7323eea,522.6584369,-160.0666997,682.7251366
16451,-2520.046231,-2743.37304,223.3268085
d2b99e29-5566-4d6f-896f-2f0739ea4e91,-6242.931339,-12090.7603,5847.828961
08c81f95-46ee-4c88-a62c-b8d589337d58,-5126.243815,-5751.868925,625.6251099
2971bf3e-670d-4e90-b127-921b7dae0f24,1527.265316,-5209.312174,6736.57749
732bfde3-7590-481d-b1bb-580514764285,-331980.3106,-399833.69,67853.37939
8cc384f3-5e7a-4421-867f-bd55ce404114,-1101.164893,-2537.896028,1436.731135
d66dfd63-29ec-43d2-a5d9-f47b65e8f145,-10866.92726,-20481.38313,9614.455868
997ef1f2-371c-4607-8758-54ff96ac6e02,-5354.370302,-12434.96502,7080.594719
cc6a5e18-9106-4825-882b-8de0f55198ec,-4767.375694,-10678.5297,5911.154003
e4f3f6c4-79c5-4cba-87af-adb0cd36f53f,-365.7829271,-1608.404677,1242.62175
87ba1744-bdf3-483f-b6f1-081067b387c6,6797.029704,1679.648252,5117.381452
0dcd6c37-ea7e-4dfa-80f3-ffc922bc75e9,-1469.094698,-10055.29005,8586.195354
8fd23f0b-ef3c-483a-ad2b-5aace0ce3ac9,-8527.686237,-19884.76985,11357.08362
ef2152cc-15af-49b8-ab59-73e43337599a,482.0360449,194.7470035,287.2890414
910f83aa-3716-4a3a-a343-9751938f1610,-4221.442089,-5988.589791,1767.147701
7b78cfff-3a8b-4336-854f-bef02be86aac,-140458.3676,-145264.7736,4806.40607
7f2ab4bc-1e1c-4001-874e-deb5b1c69788,235.7001638,-1650.809394,1886.509558
41732494-175b-4314-a747-da19b094a979,-187562.7154,-202456.056,14893.34056
58e29f83-897c-462e-ae79-b9a67895dbce,547.5895366,322.6235317,224.966005
49f91fce-526b-46fa-9ac0-8c80b6eae3c7,-6350.500238,-15679.75604,9329.255804
3b89f909-e814-4147-a3e5-4d80b89ef1de,2434.933496,431.6727187,2003.260777
16413,-487.1091585,-965.4113023,478.3021438
86041910-f71d-4288-bee3-15495a3e743e,-1943.575063,-5385.572199,3441.997136
