AccountID,RMSE,SI
8a5f3928-6c0b-4021-bce4-5e4c035c9f00,5462.497566,1.550668801
39707c72-9fc1-46f7-9f9e-a27ae57bab63,4445.310222,2.626506796
16426,1560.086402,1.282250852
1c74e692-be81-499e-b7e0-3b2398ac2697,426.674879,1.678286132
6b948c7f-c7f1-4c4a-b17d-df514cdd979b,8141.9848,1.74171652
1558b380-9de3-4582-b93f-68908a474f44,6608.174853,2.217691411
347f78c2-a5d2-48e1-b301-60e6b4a0f5a2,172344.217,1.124747317
77303cad-e32f-4568-9482-552625c1bf54,55838.35868,0.558990639
f17a9644-59c6-4ac3-a619-d4297647cd0f,1319.415748,1.500137287
2f2b3f80-038d-42a8-89c1-d8dac760b25a,5677.838456,1.662001277
4a262aff-7eec-41b9-99e0-213141e938a7,148257.4815,1.180344229
ebd907e9-93a0-47f7-9c4d-ab7c7d8f6ad1,4759.171837,1.667627414
88523c30-8fdc-493b-a0df-a733b50c9d2f,6574.245698,2.217681452
33862ef4-cb08-4453-a641-29ad7c4e5a32,1296.660357,8.354878006
7fc8a141-21dd-4c9b-acce-a2478c8d8f1a,6171.208882,2.072405427
3869acaa-0ce2-4411-b467-9f01f0cb1c48,2131.151685,1.826082663
654fec9a-7006-4808-8074-4cf2d259f962,3533.830248,2.947388382
9a9c68ac-ee8e-4dca-8d06-7971b54f5212,8124.266262,1.367171502
365a4ea2-5bba-4ad9-a32e-348ea2aa7092,1900.79996,1.747527792
6cceb62f-8756-4950-b2b5-d1b7d5c37732,25291.22327,1.039426566
b1a8e3ff-b811-4629-b37f-c303b4094e2c,7500.246205,2.922040267
291e9077-7c91-430a-936d-2faf0876f8fe,417473.2513,1.23768298
e991898e-301f-4ccd-8794-851e1cc158df,529288.8696,1.110065028
cbcffb78-314f-44a0-908d-9fb3532bb844,993.0623992,1.984148586
7395998c-f7a0-47c4-b1fe-e1e2e268f793,8672.627889,1.870732891
a7b05a99-9fad-4ebd-b652-1b7608e27767,6201.974793,1.507884648
de5ae23a-7bc6-46b7-9dd1-bbd280221ce8,1263.264481,1.567364551
9c2d46b2-a6b5-4fe8-9226-30ad8d04cb6f,136525.0205,1.006043233
6faa6320-b5af-48b4-a991-095d5530151a,8015.407207,1.3198066
054d69e4-4965-4efe-8c4c-d5fde37a5581,5141.327639,0.86816922
031772d7-1210-42f4-ae76-60b4df0777ab,5625.602958,1.971621147
d75b538b-eca9-4ad8-bae5-cb4000d3f840,8325.487295,3.517681726
3c296219-f392-4439-9005-38cdff0824c7,2610.983368,2.852050046
458830ee-8e50-4d03-b9ef-469f67b5f128,6441.930194,1.997948744
4c71c0ac-6f9f-4cfd-9854-1447703bb215,13464.22858,3.377893282
89ab357a-4bbf-477a-aaee-60c3aa659168,19901.65355,1.066185181
51e788f5-6015-429d-8897-f1faef147bd1,4577.285333,1.412744131
16407,383.8575216,4.340512027
