AccountID,Difference,Highest Amount,Lowest Amount
b379c432-3313-4967-94c5-3a4129d8d9fd,0.0,-4058.84,-4058.84
16427,0.0,51.289999999999964,51.289999999999964
16269,0.0,1622.3200000000002,1622.3200000000002
28e39ff6-8ea6-43f3-ba9f-20fe7b03aed2,0.0,0.0,0.0
3542ae16-55ca-4b13-a2ad-4eb215f23f5f,0.0,-2215.9300000000003,-2215.9300000000003
c29abef9-d8be-4b37-bb84-f1344496cc33,0.0,0.0,0.0
1ac8dcf9-fbc0-4aac-b426-250e535b9dc0,0.0,187.43,187.43
16444,0.0,-13064.24,-13064.24
4231a6ea-08d9-4316-a510-3a8e7734d3ce,0.0,-373.61,-373.61
1bd930ef-8d95-490b-8244-593fffa76943,0.0,-40408.31,-40408.31
84a7c0a0-c8d7-4dc3-b276-fd2f067f8314,0.0,-2786.12,-2786.12
99ff6036-a7a6-4023-9191-3da6b296867d,0.0,-484126.03,-484126.03
c0f4ee3d-afa3-40b7-b73b-0e540001419c,0.0,0.0,0.0
16461,0.0,-70043.7,-70043.7
9b1abd09-fb10-4eca-96ea-bb249009511a,0.0,-3130.38,-3130.38
2e74922d-4b99-4bc4-9668-5fa47c8d90d5,0.0,0.0,0.0
bf474d4d-4bcd-4d81-a6c8-a6f12857036b,0.0,640.3100000000004,640.3100000000004
4447902f-bf3c-4ea7-a3a6-0314dc8fa8f5,0.0,0.0,0.0
b7d38942-c991-4eff-844a-642762e28813,0.0,2594.7,2594.7
c3beeaa8-87ce-455d-9482-e01679b9d1eb,0.0,1493.08,1493.08
3e46fa21-527b-4672-ab87-56b974738554,0.0,-2563.71,-2563.71
b96be476-c22f-4d68-bc38-9e79a322c67c,0.0,-39339.53,-39339.53
532aae42-83bf-43fb-addb-a07c4af4e56c,0.0,-4700.73,-4700.73
5806a549-8753-48d9-ab45-9188151639d2,0.0,-1028.78,-1028.78
949ef193-4a38-4479-9db2-3651beccb584,0.0,-1079.84,-1079.84
11c898d8-5e48-4415-9a15-0a4774a65756,0.0,-1047.23,-1047.23
368453c5-a1c4-4d21-b2af-323209f7f90e,0.0,-1298.1,-1298.1
f132415a-7a6d-434f-8ded-06e9d1d80baa,0.0,-102818.33,-102818.33
9a9c68ac-ee8e-4dca-8d06-7971b54f5212,0.0,-1273.6,-1273.6
64abef13-12e6-4e74-bf5a-b0cb3a223ad9,0.0,-2666.18,-2666.18
b1517c9a-9b0c-46b7-b506-49c1da05c8f7,0.0,0.0,0.0
